"Phase","No","Portal","Module","Dependencies","Summary","Description","Acceptance Criteria","Endpoints"
"PHASE 0 — Infrastructure","P0.1","N/A","Database","—","Database Schema & Seed Data","Khởi tạo toàn bộ schema và dữ liệu seed cho môi trường dev/test.","- V1__initial_schema.sql — tenants, users, schools, content, permissions, audit_logs
- V2__seed_dev.sql — dữ liệu mẫu
- Indexes cho: tenant_id, user_id, content_id, domain",""
"PHASE 1 — Centralized Identity Portal","1.1","Centralized Auth","Identity","P0.1","Identifier-First Login Flow (Bước nhập định danh)","User nhập email/username → hệ thống tra cứu tenant → trả về branding config phù hợp trước bước nhập mật khẩu.","- API nhận identifier, trả về tenant branding + nextStep
- 1 tenant → áp branding white-label
- Super Admin / multi-tenant → branding mặc định
- Identifier không tồn tại → lỗi generic","POST /identity/identify"
"PHASE 1 — Centralized Identity Portal","1.2","Centralized Auth","Identity","1.1","Authentication (Xác thực mật khẩu + cấp token)","User nhập mật khẩu → xác thực, kiểm tra trạng thái tài khoản/trường, cấp JWT.","- Đăng nhập thành công trả về access_token + refresh_token
- Kiểm tra tài khoản bị khóa / trường hết hợp đồng
- Brute-force protection: khóa tạm thời sau N lần sai
- Ghi audit log mỗi lần login","POST /identity/login
POST /identity/refresh-token
POST /identity/logout"
"PHASE 1 — Centralized Identity Portal","1.3","Centralized Auth","Identity","1.2","Workspace Selector (Chọn tenant khi đa tenant)","User thuộc nhiều tenant → sau login hiển thị màn hình chọn workspace trước khi vào dashboard.","- API trả về danh sách tenant còn hiệu lực
- Chọn tenant → token được scope vào tenant đó
- Có Tenant Switcher trong session
- Tenant hết hạn không hiển thị","GET /identity/workspaces
POST /identity/workspaces/{tenantId}/select"
"PHASE 1 — Centralized Identity Portal","1.4","Centralized Auth","Identity","1.2","Concurrent Session Management (Giới hạn đăng nhập đồng thời)","Kiểm soát số session đồng thời theo cấu hình, xử lý vượt ngưỡng (Block hoặc Kick session cũ).","- Cấu hình max_concurrent_sessions theo user / loại tài khoản
- Policy Block (từ chối login mới) hoặc Kick (đá session cũ nhất)
- API xem/hủy session của bản thân
- Admin xem/hủy session của bất kỳ user
- Ghi log sự kiện session","GET /identity/sessions
DELETE /identity/sessions/{sessionId}
DELETE /identity/sessions
GET /admin/users/{userId}/sessions
DELETE /admin/users/{userId}/sessions"
"PHASE 2 — LMS Admin Portal","2.1","Admin Portal","Tenancy","P0.1","Quản lý Tenant và Branding","As LMS Admin, quản lý danh sách tenant (STEM, English, KNS…) cùng domain, logo, avatar, branding.","- Tạo/sửa/ngưng tenant
- Quản lý: code, name, domain, logo, avatar, mô tả, trạng thái
- Không trùng domain hoặc tenant_code
- Danh sách có search, filter, phân trang","GET /admin/tenants
POST /admin/tenants
GET /admin/tenants/{tenantId}
PUT /admin/tenants/{tenantId}
PATCH /admin/tenants/{tenantId}/status"
"PHASE 2 — LMS Admin Portal","2.2","Tất cả Portal","Tenancy","2.1","Resolve Tenant theo Domain (Middleware)","Middleware nhận diện tenant từ Host header, trả về branding config cho client.","- Resolve đúng tenant từ Host header / query param
- Domain không khớp → 404 hoặc redirect lỗi
- Trả branding config theo tenant
- Fallback về admin domain nếu không match","GET /tenants/resolve?domain={domain}"
"PHASE 2 — LMS Admin Portal","2.3","Admin Portal","Schools","P0.1","Quản lý Trường học","As LMS Admin, quản lý danh sách trường học và hợp đồng để gán user đúng đơn vị.","- Tạo/sửa/ngưng trường học
- Thông tin: tên, mã trường, địa chỉ, MST, POC, tỉnh/thành phố
- Thiết lập thời hạn hợp đồng
- Search, filter, xem chi tiết","GET /admin/schools
POST /admin/schools
GET /admin/schools/{schoolId}
PUT /admin/schools/{schoolId}
PATCH /admin/schools/{schoolId}/status"
"PHASE 2 — LMS Admin Portal","2.4","Admin Portal","Schools","2.1, 2.3","Cấu hình License & Subscription cho Trường","Gắn trường học vào tenant và cấu hình hợp đồng (thời hạn, max sessions, login policy).","- Gắn trường vào một hoặc nhiều tenant
- Cấu hình: ngày bắt đầu/kết thúc, max concurrent sessions, policy Block/Kick
- Cảnh báo khi hợp đồng sắp hết hạn
- Không cho login khi hợp đồng hết hạn","GET /admin/schools/{schoolId}/subscriptions
POST /admin/schools/{schoolId}/subscriptions
PUT /admin/schools/{schoolId}/subscriptions/{id}
DELETE /admin/schools/{schoolId}/subscriptions/{id}"
"PHASE 2 — LMS Admin Portal","2.5","Admin Portal","Users","P0.1","Quản lý Tài khoản Người dùng","As LMS Admin, tạo và quản lý tài khoản toàn hệ thống (gán tenant, loại tài khoản, trường học).","- Tạo/sửa/khóa user
- Quản lý: username, password, họ tên, email, avatar, loại tài khoản, trạng thái
- Phân loại: lms_admin, tenant_admin, school_user
- Ghi audit log khi tạo/sửa/khóa","GET /admin/users
POST /admin/users
GET /admin/users/{userId}
PUT /admin/users/{userId}
PATCH /admin/users/{userId}/status
POST /admin/users/{userId}/reset-password"
